"id","reference","categorie"
1052,"Lenovo carbon i5-7200 8go ddr4 256gb sssd nvme 14.0''FHD","laptop"
61,"Hp elitedesk i7 upro 6eme 8gb ddr4 256gb sata SSD","PC BUREAU"
59,"Hp pavilion i5 8eme 16gb ddr4 128gb nvme SSD","PC BUREAU"
1071,"Lenovo thinkbook 14 G2 I7-1165 G7 16go ddr4 512gb ssd nvme pcle 14p","laptop"
1637,"HP 450GB — SAS 10K — sans caddy","SAS — 2,5"" — 450GB HDD"
1055,"Lenovo thinkpad x260 i5-6300 U 8go ddr4 256gb ssd nvme 12.5p","laptop"
1638,"HP 450GB — SAS 10K — sans caddy","SAS — 2,5"" — 450GB HDD"
64,"Hp 280 g2 i3 6eme 8gb ddr4 240gb sata SSD","PC BUREAU SSF"
58,"Hp prodesk i5 8eme 8gb ddr4 256gb sata ssd","PC BUREAU"
62,"ThinkCentre i7 upro 7eme 8gb ddr4 256gb sata SSD","PC BUREAU"
73,"Dell optiplex 3040 i5 6500t 8gb ddr3 256gb sata SSD","PC BUREAU SSF"
66,"Acer aspire XR 780 i3 7eme 8gb GT710 1GB VRAM 256gb sata SSD","PC BUREAU SSF"
1045,"Lenovo thinkpad x280 i5-8350 U 8go ddr4 256gb ssd nvme 12.5''FHD","laptop"
934,"FUJI SFF i5 7400 4gb 256gb","PC BUREAU SSF"
1639,"HP 450GB — SAS 10K — sans caddy","SAS — 2,5"" — 450GB HDD"
414,"i3 - 6100","INTEL"
415,"i3 - 6100","INTEL"
68,"HP prodesk 600 G2 i3 6eme 8gb ddr3 256gb nvme SSD","PC BUREAU SSF"
1046,"Lenovo thinkpad x280 i5-8350 U 8go ddr4 256gb ssd nvme 12.5''FHD","laptop"
1161,"HPE PROLiant ML350 Gen9","serveurs Tour"
23,"Dell latitude 7280 i7 7600U 8gb ddr4 256gb nvme fhd 12.8p battery HS","laptop"
24,"Dell latitude 7280 i7 7600U 8gb ddr4 256gb nvme fhd 12.8p battery miss","laptop"
1162,"HPE PROLiant ML350 Gen9","serveurs Tour"
1163,"HPE PROLiant ML350 Gen9","serveurs Tour"
1164,"HPE PROLiant ML350 Gen9","serveurs Tour"
1147,"HPE PROLiant DL360 Gen10","serveurs rack"
1148,"HPE PROLiant DL360 Gen10","serveurs rack"
161,"LENOVO - 45w","Chargeur LENOVO"
162,"LENOVO - 65w ( normal )","Chargeur LENOVO"
416,"i3 - 6100","INTEL"
417,"i3 - 6100","INTEL"
418,"i3 - 6100","INTEL"
1566,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1567,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1568,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
935,"Lexmark MS310dn","Imprimante"
806,"Dell Optiplex 3040 i5 6500T 8gb ddr3 256gb sata ssd","Mini pc"
939,"HP EliteDisplay E22 G4 FHD 21.5""","ecran"
1091,"Dell Latitude 3540 i5-4210 U 8go ddr3l 256gb ssd 15.6p","laptop"
1092,"Dell Latitude 3540 i5-4210 U 8go ddr3l 256gb ssd 15.6p","laptop"
1095,"Dell Latitude 7280 i7-7600 U 8go ddr4 256gb ssd nvme 14p","laptop"
1082,"Dell Latitude 7300 i7-8665 U 8go ddr4 256gb ssd nvme 13.3p","laptop"
1083,"Dell Latitude 7300 i7-8665 U 8go ddr4 256gb ssd nvme 13.3p","laptop"
1084,"Dell Latitude 7390 i7-8650 U 8go ddr4 256gb ssd nvme 13.3p","laptop"
1085,"Dell Latitude 7390 i7-8650 U 8go ddr4 256gb ssd nvme 13.3p","laptop"
1102,"Dell Latitude 7420 i5-1145 G7 16go LPDDR4x 512gb ssd nvme pcle 14p","laptop"
1096,"Dell Latitude 7480 i7-6600 8go ddr4 256gb ssd nvme 14p","laptop"
1088,"Dell Latitude E 7250 i5-5300 U DDR3L ssd mSATA (probleme touchpad)","laptop"
1089,"Dell Latitude E 7250 i5-5300 U DDR3L ssd mSATA (probleme touchpad)","laptop"
1077,"Lenovo thinkpad x270 i5-7300 U 8go ddr4 256gb ssd nvme 12.5p","laptop"
1086,"Dell Vostro 15 i5-7200 U 8go ddr4 256gb ssd 2.5''sata15.6p","laptop"
1087,"Dell Vostro 15 i5-7200 U 8go ddr4 256gb ssd 2.5''sata15.6p","laptop"
1103,"Dell Vostro 3590 i5-10210 U 16go ddr4 512gb ssd nvme 15.6p","laptop"
12,"Dell vostro 5410 i5 11320H 8gb ddr4 256gb nvme fhd 14p battery 85%","laptop"
1067,"Lenovo thinkpad E14-G2 i7-1165 G7 16go ddr4 512gb ssd nvme pcle 14p","laptop"
102,"HP - 65w","Chargeur HP"
1068,"Lenovo thinkpad E14-G2 i7-1165 G7 16go ddr4 512gb ssd nvme pcle 14p","laptop"
1075,"Lenovo thinkpad T14 Gen1 i7-1051 U 16go ddr4 512gb ssd nvme 14p","laptop"
1076,"Lenovo thinkpad T14 Gen1 i7-1051 U 16go ddr4 512gb ssd nvme 14p","laptop"
1442,"Lenovo thinkpad x13 ryzen 5 4650u 8gb ddr4 256gb nvme ssd 86%","laptop"
1078,"Lenovo thinkpad x270 i5-7300 U 8go ddr4 256gb ssd nvme 12.5p","laptop"
103,"HP - 65w","Chargeur HP"
175,"LENOVO - 65w ( type C )","Chargeur LENOVO"
176,"LENOVO - 65w ( type C )","Chargeur LENOVO"
93,"HP - 45w","Chargeur HP"
94,"HP - 45w","Chargeur HP"
141,"DELL - 90w","Chargeur DELL"
142,"DELL - 90w","Chargeur DELL"
419,"i3 - 6100","INTEL"
420,"i3 - 6100","INTEL"
421,"i3 - 6100","INTEL"
1079,"Lenovo thinkpad x270 i5-7300 U 8go ddr4 256gb ssd nvme 12.5p","laptop"
1149,"Fujitsu Primergy RX2540 M2","serveurs rack"
422,"i3 - 6100","INTEL"
423,"i3 - 6100","INTEL"
1150,"Fujitsu Primergy RX2540 M2","serveurs rack"
1151,"Fujitsu Primergy RX2540 M2","serveurs rack"
1154,"HPE PROLiant DL325 Gen10","serveurs rack"
1155,"HPE PROLiant DL325 Gen10","serveurs rack"
1640,"HPE 450GB — SAS 15K — sans caddy","SAS — 2,5"" — 450GB HDD"
143,"DELL - 130w / 135w","Chargeur DELL"
1462,"Dell Combo Wireless keyboard/Mouse","CLAVIERS & PÉRIPHÉRIQUES"
1467,"Lenovo Wired Combo keyboard/mouse","CLAVIERS & PÉRIPHÉRIQUES"
1466,"Lenovo Wired Combo keyboard/mouse","CLAVIERS & PÉRIPHÉRIQUES"
144,"DELL - 130w / 135w","Chargeur DELL"
145,"DELL - 130w / 135w","Chargeur DELL"
146,"DELL - 130w / 135w","Chargeur DELL"
72,"ThinkCentre i7 8700 16gb ddr4 256gb SSD","PC BUREAU"
125,"DELL - 65w","Chargeur DELL"
1097,"Dell Latitude 7380 i5-8265 U 8go ddr4 256gb ssd nvme 13.3p","laptop"
51,"Hp G1 i3 4130 4GB ddr3 500gb HDD","PC BUREAU"
67,"HP Prodesk 290 G1 i3 7eme 8gb ddr4 250gb sata SSD","PC BUREAU"
78,"Hp Pro tower i5 14400 16gb ddr5 256gb nvme SSD","PC BUREAU"
69,"Dell Optiplex 3060 i3 8100 8gb ddr4 256gb nvme SSD","PC BUREAU SSF"
75,"Dell inspiron i5 8400 8gb ddr4 256gb SSD","PC BUREAU"
71,"ThinkCentre i7 9700 16gb ddr4 256gb SSD","PC BUREAU"
74,"ThinkCentre i5 7400 8gb ddr4 256gb SSD","PC BUREAU"
1569,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
82,"Hp prodesk 600 g2 i7 6100 8gb ddr4 256gb SSD","PC BUREAU"
126,"DELL - 65w","Chargeur DELL"
1570,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1571,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
127,"DELL - 65w","Chargeur DELL"
81,"Hp Pavillion i5 7400 8gb ddr4 256gb SSD","PC BUREAU"
1572,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
128,"DELL - 65w","Chargeur DELL"
129,"DELL - 65w","Chargeur DELL"
130,"DELL - 65w","Chargeur DELL"
1641,"Dell 300GB — SAS 15K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
938,"Hp elitedisplay E22 G4 22p","ecran"
1440,"Hp Zbook Firefly 14g7 i7 10610u 16gb ddr4 256gb 71% 71 nvme71%","laptop"
1100,"Toshiba Satellite pro R50-C i3-6006 U 8go ddr4 256gb ssd 2.5''sata 15.6p","laptop"
153,"LENOVO - 45w","Chargeur LENOVO"
118,"HP - 150w","Chargeur HP"
233,"LENOVO - 150w","Chargeur LENOVO"
234,"LENOVO - 150w","Chargeur LENOVO"
235,"LENOVO - 150w","Chargeur LENOVO"
236,"LENOVO - 150w","Chargeur LENOVO"
237,"LENOVO - 150w","Chargeur LENOVO"
238,"LENOVO - 150w","Chargeur LENOVO"
239,"LENOVO - 150w","Chargeur LENOVO"
154,"LENOVO - 45w","Chargeur LENOVO"
155,"LENOVO - 45w","Chargeur LENOVO"
119,"DELL - 45w","Chargeur DELL"
120,"DELL - 45w","Chargeur DELL"
712,"i3 - 14 eme","INTEL"
713,"i3 - 14 eme","INTEL"
714,"i3 - 14 eme","INTEL"
715,"i3 - 14 eme","INTEL"
716,"i7 - 6700","INTEL"
76,"Dell Optiplex 5040 i7 6eme 8gb ddr4 256gb SSD","PC BUREAU"
65,"HP prodesk 400 g3 i3 6eme 8gb ddr4 240gb sata SSD","PC BUREAU SSF"
156,"LENOVO - 45w","Chargeur LENOVO"
157,"LENOVO - 45w","Chargeur LENOVO"
158,"LENOVO - 45w","Chargeur LENOVO"
159,"LENOVO - 45w","Chargeur LENOVO"
160,"LENOVO - 45w","Chargeur LENOVO"
905,"USB-C to C 5Gbps 100W 5A","Cable"
240,"65w","Adapter"
906,"USB-C to C 5Gbps 100W 5A","Cable"
148,"DELL - 130w / 135w","Chargeur DELL"
149,"DELL - 130w / 135w","Chargeur DELL"
121,"DELL - 45w","Chargeur DELL"
122,"DELL - 45w","Chargeur DELL"
123,"DELL - 45w","Chargeur DELL"
124,"DELL - 45w","Chargeur DELL"
131,"DELL - 65w","Chargeur DELL"
132,"DELL - 65w","Chargeur DELL"
1573,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1574,"Dell 900GB — SAS 10K 12Gbps — avec caddy","SAS — 2,5"" — 600GB / 900GB HDD"
1470,"Wavlink WL-UTD03 USB-C 4K Triple Display Docking Station","Station d'accueil"
1301,"Lenovo ThinkVision T22i-20","ecran"
1299,"Lenovo ThinkVision T24-40","ecran"
1538,"Dell Enterprise Plus 1.2TB — SAS 10K — 2,5""","SAS— 2,5"" — 1TB / 1,2TB HDD"
291,"SSD 4TB SanDisk NVME PCIe Gen4 x4","NVMe"
294,"SSD 4tb Sabrent Rocket Q4 PCIe Gen4","NVMe"
1642,"Dell 300GB — SAS 15K — avec caddy","SAS — 2,5"" — 300GB / 146GB"
1539,"Dell Enterprise Plus 1.2TB — SAS 10K — 2,5""","SAS— 2,5"" — 1TB / 1,2TB HDD"
1540,"Dell Enterprise Plus 1.2TB — SAS 10K — 2,5""","SAS— 2,5"" — 1TB / 1,2TB HDD"
283,"SAMSUNG 960gb","SATA"
284,"SAMSUNG 960gb","SATA"
285,"SAMSUNG 960gb","SATA"
692,"SSD 256gb","SATA"
693,"SSD 256gb","SATA"
694,"SSD 256gb","SATA"
695,"SSD 256gb","SATA"
696,"SSD 256gb","SATA"
697,"SSD 256gb","SATA"
698,"SSD 256gb","SATA"
699,"SSD 256gb","SATA"
663,"SSD 256gb","SATA"
664,"SSD 256gb","SATA"
665,"SSD 256gb","SATA"
666,"SSD 256gb","SATA"
667,"SSD 256gb","SATA"
668,"SSD 256gb","SATA"
669,"SSD 256gb","SATA"
670,"SSD 256gb","SATA"
265,"90w","Adapter"
266,"90w","Adapter"
671,"SSD 256gb","SATA"
898,"USB-C to C 5Gbps 100W 5A","Cable"
210,"LENOVO - 130w / 135 w","Chargeur LENOVO"
672,"SSD 256gb","SATA"
673,"SSD 256gb","SATA"
674,"SSD 256gb","SATA"
675,"SSD 256gb","SATA"
1105,"Acer Extensa 15 i3-1115 G4 16go ddr4 512gb ssd nvme 15.6p","laptop"
1098,"Dell Latitude 3410 i5-7300 U 8go ddr4 256gb ssd nvme 14p","laptop"
1099,"Dell Latitude E7270 i5-6300 U 8go ddr4 ssd 12.5p","laptop"
211,"LENOVO - 130w / 135 w","Chargeur LENOVO"
212,"LENOVO - 130w / 135 w","Chargeur LENOVO"
213,"LENOVO - 130w / 135 w","Chargeur LENOVO"
214,"LENOVO - 130w / 135 w","Chargeur LENOVO"
215,"LENOVO - 130w / 135 w","Chargeur LENOVO"
241,"65w","Adapter"
242,"65w","Adapter"
216,"LENOVO - 130w / 135 w","Chargeur LENOVO"
217,"LENOVO - 130w / 135 w","Chargeur LENOVO"
218,"LENOVO - 130w / 135 w","Chargeur LENOVO"
219,"LENOVO - 130w / 135 w","Chargeur LENOVO"
220,"LENOVO - 130w / 135 w","Chargeur LENOVO"
190,"LENOVO - 90w","Chargeur LENOVO"
191,"LENOVO - 90w","Chargeur LENOVO"
192,"LENOVO - 90w","Chargeur LENOVO"
193,"LENOVO - 90w","Chargeur LENOVO"
194,"LENOVO - 90w","Chargeur LENOVO"
195,"LENOVO - 90w","Chargeur LENOVO"
196,"LENOVO - 90w","Chargeur LENOVO"
197,"LENOVO - 90w","Chargeur LENOVO"
198,"LENOVO - 90w","Chargeur LENOVO"
199,"LENOVO - 90w","Chargeur LENOVO"
200,"LENOVO - 90w","Chargeur LENOVO"
1104,"Dell Latitude 3410 i5-10210 U 16go ddr4 512gb ssd nvme 14p","laptop"
290,"Kingston SSD 960GB","SATA"
292,"SSD 128GB NVMe","NVMe"
297,"SSD 128gb PCIe Gen3 LITE-ON","NVMe"
295,"SSD 128gb PCIe Gen3 SK Hynix","NVMe"
